   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

26, 27, 20, 9, 5, True, True, True, True, East, 4, 3, 2, 1, 8, 1, 999999, 2, 1, 2, 0, 3, 0, 2, 0, 1, South, South, None, South, South, 3, 0, -1, 175,South, 174
27, 27, 20, 9, 4, True, True, True, True, South, 4, 3, 2, 0, 10, 1, 999999, 2, 1, 1, 0, 3, 1, 1, 0, 1, North, East, None, South, South, 2, 0, -1, 174,East, 173
28, 27, 20, 10, 4, True, True, True, True, East, 4, 3, 1, 0, 11, 1, 999999, 1, 1, 1, 0, 3, 2, 1, 0, 0, North, South, None, South, South, 2, 0, -1, 173,South, 172
29, 27, 20, 10, 3, True, False, True, True, South, 4, 3, 1, 0, 1, 999999, 999999, 1, 2, 0, 0, 3, 1, 1, 0, 0, North, None, None, Stop, Stop, 1, 0, -1, 172,East, 371
30, 27, 20, 11, 3, True, False, False, True, East, 4, 2, 9, 2, 2, 999999, 999999, 9, 2, 0, 0, 2, 1, 1, 0, 0, North, None, None, North, Stop, 10, 0, -1, 371,North, 370
31, 27, 20, 11, 4, True, True, False, True, North, 4, 2, 8, 1, 1, 999999, 999999, 8, 2, 0, 0, 2, 1, 0, 1, 0, West, None, None, West, West, 9, 0, -1, 370,North, 369
32, 27, 20, 11, 5, True, True, False, True, North, 4, 2, 7, 0, 10, 999999, 999999, 7, 1, 0, 0, 2, 0, 0, 2, 0, West, None, None, West, West, 7, 0, -1, 369,North, 368
33, 27, 20, 11, 6, True, True, False, True, North, 4, 2, 7, 0, 10, 999999, 999999, 7, 1, 0, 0, 2, 2, 0, 0, 0, North, None, None, North, North, 7, 0, -1, 368,North, 367
34, 27, 20, 11, 7, True, True, False, True, North, 4, 2, 8, 1, 8, 1, 999999, 8, 1, 1, 0, 2, 0, 1, 0, 1, South, East, None, East, East, 9, 0, -1, 367,North, 366
35, 27, 20, 11, 8, True, True, False, True, North, 4, 2, 7, 2, 7, 2, 999999, 7, 1, 1, 0, 2, 0, 0, 2, 0, West, West, None, West, West, 9, 0, -1, 366,North, 365
36, 27, 20, 11, 9, True, True, False, True, North, 4, 2, 7, 3, 6, 3, 999999, 7, 1, 1, 0, 2, 0, 0, 1, 1, East, West, None, West, West, 10, 0, -1, 365,North, 364
37, 27, 20, 11, 10, True, True, False, True, North, 4, 2, 6, 4, 5, 4, 999999, 6, 1, 1, 0, 2, 0, 0, 1, 1, East, West, None, West, West, 10, 0, -1, 364,North, 363
38, 27, 20, 11, 11, True, True, False, True, North, 4, 2, 6, 4, 4, 6, 999999, 6, 1, 1, 0, 2, 0, 1, 0, 1, East, South, None, South, South, 12, 0, -1, 363,North, 362
39, 27, 20, 11, 12, False, True, True, True, North, 4, 2, 7, 3, 3, 7, 999999, 7, 1, 1, 0, 2, 0, 0, 0, 2, East, East, None, East, East, 13, 0, -1, 362,East, 361
40, 27, 20, 12, 12, False, False, True, True, East, 4, 2, 6, 4, 4, 6, 999999, 6, 1, 1, 0, 2, 2, 0, 0, 0, North, North, None, North, North, 12, 0, -1, 361,East, 360
41, 27, 20, 13, 12, False, True, True, True, East, 4, 2, 6, 4, 4, 6, 999999, 6, 1, 1, 0, 2, 0, 0, 1, 1, West, East, None, East, West, 11, 0, -1, 360,South, 359
