@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-3,10,23-26,31,35-weka.filters.unsupervised.attribute.Remove-R19-22'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
6,7,True,True,False,True,4,3,4,2,2,2,999999,4,2,1,0,3,6,0,-1,South
6,6,True,False,True,True,4,3,5,1,3,1,999999,5,2,1,0,3,8,0,-1,East
7,6,False,False,True,True,4,3,3,2,3,2,999999,3,2,1,0,3,6,0,-1,East
8,6,True,True,True,True,4,3,2,2,2,2,999999,2,2,1,0,3,4,0,-1,East
9,6,True,True,True,True,4,3,1,2,2,3,999999,1,2,1,0,3,3,0,-1,North
9,7,True,True,True,True,4,3,1,2,2,4,999999,1,2,1,0,3,3,0,-1,North
9,8,True,True,True,True,4,3,2,1,1,4,999999,2,2,1,0,3,3,0,-1,East
10,8,True,True,True,True,4,3,1,2,2,4,999999,1,2,1,0,3,3,0,-1,East
11,8,True,True,False,True,4,3,0,1,1,5,999999,3,2,1,0,2,1,0,-1,North
11,9,True,True,False,True,4,2,4,4,4,6,999999,4,1,1,0,2,10,0,-1,North
11,10,True,True,False,True,4,2,4,3,3,6,999999,4,1,1,0,2,10,0,-1,North
11,11,True,True,False,True,4,2,5,2,2,7,999999,5,1,1,0,2,12,0,-1,North
11,12,False,True,True,True,4,2,5,2,2,8,999999,5,1,1,0,2,13,0,-1,East
12,12,False,False,True,True,4,2,3,3,3,8,999999,3,1,1,0,2,11,0,-1,East
13,12,False,True,True,True,4,2,1,3,3,8,999999,1,1,1,0,2,9,0,-1,South
13,11,True,True,True,False,4,2,2,4,4,7,999999,2,1,1,0,2,9,0,-1,South
13,10,True,True,True,False,4,2,2,5,5,6,999999,2,1,1,0,2,8,0,-1,South
13,9,True,True,True,False,4,2,3,5,7,5,999999,3,1,1,0,2,8,0,-1,South
13,8,True,True,True,False,4,2,3,4,8,4,999999,3,1,1,0,2,7,0,-1,South
13,7,True,True,True,False,4,2,2,3,9,3,999999,2,1,1,0,2,5,0,-1,South
13,6,True,True,True,False,4,2,2,2,11,2,999999,2,1,1,0,2,4,0,-1,South
13,5,True,True,True,False,4,2,1,1,13,1,999999,1,1,1,0,2,2,0,-1,South
13,4,True,True,True,False,4,2,1,1,1,999999,999999,1,2,0,0,2,2,0,-1,South
13,3,True,False,True,False,4,2,1,2,2,999999,999999,1,2,0,0,2,3,0,-1,East
14,3,True,False,True,True,4,2,1,2,2,999999,1,6,2,0,1,1,3,0,-1,East
15,3,True,False,True,True,4,2,1,2,2,999999,1,4,2,0,1,1,3,0,-1,North
15,4,False,True,True,True,4,2,1,1,1,999999,1,4,2,0,1,1,2,0,-1,West
14,4,True,True,True,True,4,2,0,2,2,999999,999999,4,2,0,0,1,2,0,-1,North
14,5,True,True,False,True,4,1,4,13,13,999999,999999,4,1,0,0,1,13,0,-1,North
14,6,True,True,True,True,4,1,4,12,12,999999,999999,4,1,0,0,1,14,0,-1,North
14,7,True,True,False,True,4,1,4,11,11,999999,999999,4,1,0,0,1,15,0,-1,North
14,8,True,True,True,True,4,1,3,10,10,999999,999999,3,1,0,0,1,13,0,-1,North
14,9,True,True,False,True,4,1,3,9,9,999999,999999,3,1,0,0,1,12,0,-1,North
14,10,True,True,True,True,4,1,3,7,7,999999,999999,3,1,0,0,1,10,0,-1,North
14,11,True,True,True,True,4,1,2,6,6,999999,999999,2,1,0,0,1,8,0,-1,North
14,12,True,True,True,True,4,1,3,5,5,999999,999999,3,1,0,0,1,8,0,-1,North
14,13,True,True,False,False,4,1,2,4,4,999999,999999,2,1,0,0,1,6,0,-1,North
14,14,True,True,True,True,4,1,2,4,4,999999,999999,2,1,0,0,1,6,0,-1,North
14,15,True,True,True,True,4,1,1,3,3,999999,999999,1,1,0,0,1,4,0,-1,North
14,16,True,True,True,True,4,1,1,2,2,999999,999999,1,1,0,0,1,3,0,-1,East
15,16,True,True,True,True,4,1,1,2,2,999999,999999,1,1,0,0,1,3,0,-1,East
