@relation 'data/training_tutorial.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,10-12,23-33,35'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,True,True,3,0,999999,4,4,3,0,2,2,1,9,West
True,True,True,True,2,0,999999,4,2,3,0,2,2,1,10,West
True,True,True,True,3,4,999999,4,8,3,0,2,1,1,11,South
True,True,True,True,2,3,999999,3,8,2,0,2,1,1,10,South
True,True,True,True,2,1,999999,1,7,2,0,2,1,1,9,South
True,True,True,True,3,0,999999,999999,7,3,0,0,1,1,10,East
True,True,True,True,2,0,999999,1,9,2,0,1,1,1,9,South
True,True,True,True,2,0,999999,999999,9,2,0,0,1,1,10,East
True,True,True,True,1,1,999999,1,10,1,0,2,1,1,9,South
True,True,True,True,1,1,1,1,10,1,1,1,1,1,10,South
True,True,True,True,1,1,2,1,10,1,1,1,1,1,11,South
True,True,True,True,1,0,4,999999,10,1,1,0,1,1,12,East
True,True,True,True,10,4,4,999999,10,999999,1,0,1,0,11,North
True,True,True,True,11,3,3,999999,11,999999,1,0,1,0,10,North
True,True,True,True,11,3,3,999999,11,999999,1,0,1,0,9,North
True,True,True,True,11,1,1,999999,11,999999,1,0,1,0,8,North
True,True,True,True,11,1,999999,1,11,999999,0,1,1,0,7,South
True,True,True,True,11,1,1,999999,11,999999,1,0,1,0,8,North
True,True,True,True,11,1,999999,1,11,999999,0,1,1,0,7,South
True,True,True,True,11,0,999999,999999,11,999999,0,0,1,0,8,West
True,True,True,True,10,0,999999,999999,10,999999,0,0,1,0,9,West
True,True,True,True,8,0,999999,999999,8,999999,0,0,1,0,10,West
True,True,True,True,7,0,999999,999999,7,999999,0,0,1,0,11,West
True,True,True,True,6,0,999999,999999,6,999999,0,0,1,0,12,West
True,True,True,True,6,0,999999,999999,6,999999,0,0,1,0,13,West
True,True,True,True,5,1,1,999999,5,999999,1,0,1,0,14,North
True,True,True,True,5,1,999999,1,5,999999,0,1,1,0,13,South
True,True,True,True,5,1,1,999999,5,999999,1,0,1,0,14,North
True,True,True,True,4,0,999999,999999,4,999999,0,0,1,0,13,West
True,True,True,True,2,0,999999,999999,2,999999,0,0,1,0,14,West
False,True,True,False,4,5,999999,5,999999,4,0,4,0,4,-1,South
True,True,False,False,3,4,999999,4,999999,3,0,4,0,4,-1,South
True,True,True,False,4,2,999999,2,999999,4,0,4,0,4,-1,South
True,True,True,False,5,2,999999,2,999999,5,0,4,0,4,-1,South
True,True,True,False,5,1,999999,1,999999,5,0,4,0,4,-1,South
True,True,False,False,5,1,1,5,999999,5,1,3,0,4,-1,South
True,True,True,False,5,2,2,5,999999,5,1,3,0,4,-1,South
True,True,False,False,5,3,3,3,999999,5,1,3,0,4,-1,South
True,True,False,False,5,1,4,1,999999,5,1,3,0,4,-1,South
True,True,False,False,5,1,1,3,999999,5,2,2,0,4,-1,South
True,True,False,False,4,2,2,2,999999,4,2,2,0,4,-1,South
True,True,False,False,4,1,3,1,999999,4,2,2,0,4,-1,South
True,True,True,False,3,1,4,1,999999,3,2,2,0,4,-1,East
False,True,True,True,2,1,4,1,999999,2,2,2,0,4,-1,East
True,True,True,True,1,1,4,1,999999,1,2,2,0,4,-1,North
True,True,True,False,2,1,3,1,999999,2,2,2,0,4,-1,North
True,True,True,False,3,2,2,2,999999,3,2,2,0,4,-1,North
True,True,True,False,3,0,6,3,999999,3,1,2,0,4,-1,East
True,True,True,True,2,0,6,3,999999,2,1,2,0,4,-1,East
True,True,True,True,5,3,5,3,999999,5,1,2,0,3,-1,South
True,True,True,True,5,2,5,2,999999,5,1,2,0,3,-1,South
True,True,True,True,5,1,7,1,999999,5,1,2,0,3,-1,South
True,True,True,True,4,0,8,1,999999,4,1,1,0,3,-1,East
True,False,True,True,4,0,7,1,999999,4,1,1,0,3,-1,East
False,False,True,True,3,0,8,1,999999,3,1,1,0,3,-1,East
True,True,True,True,2,1,9,1,999999,2,1,2,0,3,-1,South
True,True,True,False,2,0,10,1,999999,2,1,1,0,3,-1,South
True,True,True,False,2,1,1,999999,999999,2,3,0,0,3,-1,North
True,True,True,False,1,0,9,1,999999,1,1,1,0,3,-1,East
True,True,True,True,10,1,8,1,999999,10,1,1,0,2,-1,North
True,True,True,True,10,2,8,2,999999,10,1,1,0,2,-1,North
True,True,True,True,11,3,7,3,999999,11,1,1,0,2,-1,North
True,True,True,True,11,4,7,4,999999,11,1,1,0,2,-1,North
True,True,True,True,11,6,7,6,999999,11,1,1,0,2,-1,North
True,True,True,True,10,6,6,7,999999,10,1,1,0,2,-1,North
True,True,True,True,10,5,5,7,999999,10,1,1,0,2,-1,North
True,True,True,True,10,4,4,9,999999,10,1,1,0,2,-1,East
True,True,True,True,9,4,4,8,999999,9,1,1,0,2,-1,East
False,True,True,True,8,3,3,9,999999,8,1,1,0,2,-1,East
False,False,True,True,7,2,2,8,999999,7,1,1,0,2,-1,East
False,True,True,True,6,2,2,9,999999,6,1,1,0,2,-1,South
True,True,True,False,6,3,3,7,999999,6,1,1,0,2,-1,South
True,True,True,False,5,4,4,6,999999,5,1,1,0,2,-1,South
True,True,True,False,5,4,5,4,999999,5,1,1,0,2,-1,South
True,True,True,False,6,3,6,3,999999,6,1,1,0,2,-1,South
True,True,True,False,5,2,7,2,999999,5,1,1,0,2,-1,South
True,True,True,False,5,1,8,1,999999,5,1,1,0,2,-1,East
True,True,True,True,5,1,8,1,999999,5,1,1,0,2,-1,East
False,False,True,True,4,2,8,2,999999,4,1,1,0,2,-1,East
False,False,True,True,3,1,9,1,999999,3,1,1,0,2,-1,East
False,True,True,True,2,0,8,999999,999999,2,1,0,0,2,-1,East
False,True,True,True,2,0,7,999999,999999,2,1,0,0,2,-1,East
False,True,True,True,6,7,7,999999,999999,6,1,0,0,1,-1,East
False,True,True,True,5,7,7,999999,999999,5,1,0,0,1,-1,East
False,False,True,True,4,7,7,999999,999999,4,1,0,0,1,-1,East
False,False,True,True,3,8,8,999999,999999,3,1,0,0,1,-1,East
True,True,True,True,1,8,8,999999,999999,1,1,0,0,1,-1,North
True,True,True,False,1,7,7,999999,999999,1,1,0,0,1,-1,North
True,True,True,True,1,6,6,999999,999999,1,1,0,0,1,-1,North
True,True,True,False,1,6,6,999999,999999,1,1,0,0,1,-1,North
True,True,True,True,0,5,5,999999,999999,999999,1,0,0,0,-1,West
True,False,True,True,1,5,5,999999,999999,1,1,0,0,1,-1,West
False,False,True,True,2,6,6,999999,999999,2,1,0,0,1,-1,West
True,False,True,True,2,6,6,999999,999999,2,1,0,0,1,-1,North
True,True,False,True,3,5,5,999999,999999,3,1,0,0,1,-1,North
True,True,False,True,4,4,4,999999,999999,4,1,0,0,1,-1,North
True,True,False,True,4,3,3,999999,999999,4,1,0,0,1,-1,North
True,True,False,True,5,2,2,999999,999999,5,1,0,0,1,-1,North
True,True,True,False,4,1,1,999999,999999,4,1,0,0,1,-1,North
True,True,True,False,4,0,999999,999999,999999,4,0,0,0,1,-1,East
True,True,True,True,4,0,999999,999999,999999,4,0,0,0,1,-1,East
False,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,East
False,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,East
False,True,True,True,1,0,999999,999999,999999,1,0,0,0,1,-1,East
False,True,True,False,0,9,999999,9,999999,1,0,4,0,3,-1,South
True,True,False,False,0,8,999999,8,999999,1,0,4,0,3,-1,South
True,True,True,False,0,7,999999,7,999999,4,0,4,0,2,-1,South
True,True,True,False,0,7,999999,7,999999,1,0,4,0,3,-1,South
True,True,True,False,0,5,999999,5,999999,1,0,4,0,3,-1,South
True,True,False,False,0,3,999999,3,999999,2,0,4,0,3,-1,South
True,True,True,False,0,2,999999,2,999999,1,0,4,0,3,-1,South
True,True,False,False,0,1,999999,1,999999,1,0,4,0,3,-1,South
True,True,False,False,0,1,999999,1,999999,3,0,4,0,2,-1,South
True,True,False,False,0,0,999999,2,999999,3,0,3,0,2,-1,South
True,True,False,False,0,0,999999,1,999999,3,0,3,0,2,-1,South
True,True,False,False,1,1,2,1,999999,1,1,2,0,3,-1,South
True,True,True,False,1,0,3,1,999999,1,1,1,0,3,-1,South
True,True,True,False,1,0,1,999999,999999,1,2,0,0,3,-1,North
True,True,True,False,3,1,3,1,999999,3,1,1,0,2,-1,South
True,True,True,False,3,1,1,999999,999999,3,2,0,0,2,-1,North
True,True,True,False,3,1,4,1,999999,3,1,1,0,2,-1,South
True,True,True,False,4,0,5,999999,999999,4,1,0,0,2,-1,East
True,True,True,True,3,0,5,999999,999999,3,1,0,0,2,-1,East
True,True,True,True,2,1,5,1,999999,2,1,1,0,2,-1,South
True,True,True,True,2,1,6,1,999999,2,1,1,0,2,-1,South
True,False,True,True,2,1,1,999999,999999,2,2,0,0,2,-1,North
True,True,True,True,2,1,1,999999,999999,2,2,0,0,2,-1,North
True,True,True,True,2,0,4,999999,999999,2,1,0,0,2,-1,East
True,True,True,True,2,5,5,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,1,4,4,999999,999999,1,1,0,0,1,-1,North
True,True,True,True,0,3,3,999999,999999,999999,1,0,0,0,-1,North
True,True,True,True,0,1,1,999999,999999,999999,1,0,0,0,-1,North
False,True,True,False,5,0,999999,2,999999,5,0,3,0,4,14,South
True,True,False,False,4,1,1,1,999999,4,1,3,0,4,13,South
True,True,True,False,3,0,2,2,999999,3,1,2,0,4,12,East
False,True,True,True,2,0,2,2,999999,2,1,2,0,4,11,East
False,True,True,True,2,0,2,2,999999,2,1,2,0,4,10,East
False,True,True,True,1,0,2,2,999999,1,1,2,0,4,9,East
True,True,True,True,1,1,2,1,999999,1,1,2,0,3,8,North
True,True,True,False,1,1,1,2,999999,1,1,2,0,3,9,North
False,True,True,True,1,0,999999,3,999999,1,0,2,0,3,10,East
False,True,True,True,1,0,999999,2,999999,1,0,2,0,3,9,East
False,False,True,True,0,2,999999,2,999999,11,0,2,0,1,8,West
False,True,True,True,1,2,999999,2,999999,1,0,2,0,2,9,South
True,True,False,True,0,1,999999,1,999999,11,0,2,0,1,8,South
True,True,True,True,0,0,999999,5,999999,12,0,1,0,1,7,South
True,True,True,True,0,2,2,5,999999,12,1,1,0,1,6,South
True,False,True,True,1,3,3,4,999999,1,1,1,0,2,5,East
True,False,True,True,1,2,2,4,1,11,1,1,1,1,4,East
True,True,True,True,1,3,3,4,1,10,1,1,1,1,3,South
True,True,True,False,1,2,3,2,1,10,1,1,1,1,2,South
True,True,True,True,0,1,3,1,999999,10,1,1,0,1,3,South
