@relation data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37

@attribute TICK numeric
@attribute width numeric
@attribute height numeric
@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute direction {North,South,West,East,Stop}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute num_ghost_ori_N numeric
@attribute num_ghost_ori_S numeric
@attribute num_ghost_ori_W numeric
@attribute num_ghost_ori_E numeric
@attribute direccion_fantasma_N {North,South,West,East,Stop,None}
@attribute direccion_fantasma_S {North,South,West,East,Stop,None}
@attribute direccion_fantasma_W {North,South,West,East,Stop,None}
@attribute direccion_fantasma_E {North,South,West,East,Stop,None}
@attribute direccion_fantasma_cercano {North,South,West,East,Stop}
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute SCORE numeric
@attribute action {North,South,West,East,Stop}

@data
95,20,16,12,11,True,True,True,True,East,4,1,1,3,3,999999,999999,1,1,0,0,1,1,0,0,0,North,None,None,North,North,4,0,-1,606,East
96,20,16,13,11,True,True,True,True,East,4,1,1,3,3,999999,999999,1,1,0,0,1,0,0,0,1,East,None,None,East,East,4,0,-1,605,East
97,20,16,14,11,True,True,True,True,East,4,1,0,3,3,999999,999999,999999,1,0,0,0,0,0,0,1,East,None,None,None,East,3,0,-1,604,North
98,20,16,14,12,True,True,True,True,North,4,1,0,1,1,999999,999999,999999,1,0,0,0,0,0,0,0,Stop,None,None,None,Stop,1,0,-1,603,North
10,27,20,1,18,False,True,True,False,Stop,4,4,4,4,999999,4,999999,4,0,4,0,4,1,1,0,2,None,North,None,East,East,13,0,-1,-9,South
11,27,20,1,17,True,True,False,False,South,4,4,5,2,999999,2,999999,5,0,4,0,4,2,0,0,2,None,North,None,East,East,13,0,-1,-10,South
12,27,20,1,16,True,True,True,False,South,4,4,5,1,999999,1,999999,5,0,4,0,4,0,1,2,1,None,West,None,South,South,13,0,-1,-11,South
13,27,20,1,15,True,True,True,False,South,4,4,5,1,999999,1,999999,5,0,4,0,4,1,1,1,1,None,South,None,North,North,11,0,-1,-12,South
14,27,20,1,14,True,True,True,False,South,4,4,5,1,1,6,999999,5,1,3,0,4,2,1,0,1,North,South,None,South,South,11,0,-1,-13,South
15,27,20,1,13,True,True,False,False,South,4,4,5,2,2,4,999999,5,1,3,0,4,3,1,0,0,North,North,None,North,North,9,0,-1,-14,South
16,27,20,1,12,True,True,True,False,South,4,4,4,3,3,3,999999,4,1,3,0,4,2,1,1,0,North,West,None,West,West,7,0,-1,-15,South
17,27,20,1,11,True,True,False,False,South,4,4,4,3,3,3,999999,4,1,3,0,4,2,2,0,0,South,South,None,South,South,7,0,-1,-16,South
18,27,20,1,10,True,True,False,False,South,4,4,4,1,4,1,999999,4,1,3,0,4,3,1,0,0,South,North,None,North,North,5,0,-1,-17,South
19,27,20,1,9,True,True,False,False,South,4,4,5,0,6,2,999999,5,1,2,0,4,1,0,1,2,North,West,None,East,East,5,0,-1,-18,South
20,27,20,1,8,True,True,False,False,South,4,4,5,0,7,4,999999,5,1,1,0,4,1,1,2,0,West,West,None,South,South,5,0,-1,-19,South
21,27,20,1,7,True,True,False,False,South,4,4,5,0,1,4,999999,5,2,1,0,4,0,2,2,0,West,South,None,South,South,5,0,-1,-20,South
22,27,20,1,6,True,True,True,False,South,4,4,5,2,2,2,999999,5,3,1,0,4,2,0,1,1,North,North,None,North,North,7,0,-1,-21,South
23,27,20,1,5,True,True,True,False,South,4,4,5,1,3,1,999999,5,3,1,0,4,1,0,1,2,North,West,None,North,North,8,0,-1,-22,East
24,27,20,2,5,True,True,True,True,East,4,4,4,1,3,1,999999,4,3,1,0,4,1,1,0,2,North,East,None,North,North,7,0,-1,-23,East
25,27,20,3,5,True,True,True,True,East,4,4,3,1,3,1,999999,3,3,1,0,4,1,1,2,0,North,West,None,North,North,6,0,-1,-24,North
26,27,20,3,6,True,True,True,True,North,4,4,3,1,1,3,999999,3,3,1,0,4,1,2,1,0,South,South,None,South,South,4,0,-1,-25,North
27,27,20,3,7,True,True,True,False,North,4,4,3,0,1,3,999999,3,2,1,0,4,1,1,1,1,West,North,None,South,South,3,0,-1,-26,East
28,27,20,4,7,True,True,True,True,East,4,4,2,1,1,3,999999,2,3,1,0,4,2,1,1,0,North,West,None,North,North,3,0,-1,-27,East
29,27,20,5,7,True,True,True,True,East,4,4,1,1,1,3,999999,1,3,1,0,4,2,1,0,1,North,East,None,North,North,2,0,-1,-28,East
30,27,20,6,7,True,True,False,True,East,4,4,0,1,1,4,999999,2,3,1,0,3,2,2,0,0,North,South,None,North,North,1,0,-1,-29,Stop
31,27,20,6,7,True,True,False,True,East,4,4,0,2,2,4,999999,2,3,1,0,3,3,1,0,0,North,South,None,North,North,2,0,-1,-30,Stop
32,27,20,6,7,True,True,False,True,East,4,4,0,1,1,4,999999,3,3,1,0,3,0,2,0,1,Stop,South,None,East,Stop,1,0,-1,-31,North
33,27,20,6,8,True,True,False,True,North,4,3,3,1,1,5,999999,3,2,1,0,3,0,2,1,0,South,West,None,South,South,4,0,-1,168,North
34,27,20,6,9,True,True,False,True,North,4,3,4,0,5,6,999999,4,1,1,0,3,1,0,1,1,North,West,None,East,East,4,0,-1,167,North
35,27,20,6,10,False,True,False,True,North,4,3,4,0,4,6,999999,4,1,1,0,3,2,0,1,0,West,North,None,North,North,4,0,-1,166,South
36,27,20,6,9,True,True,False,True,South,4,3,4,2,2,4,999999,4,2,1,0,3,2,0,0,1,North,North,None,North,North,6,0,-1,165,South
37,27,20,6,8,True,True,False,True,South,4,3,4,2,2,3,999999,4,2,1,0,3,1,1,0,1,South,East,None,South,South,6,0,-1,164,South
38,27,20,6,7,True,True,False,True,South,4,3,4,2,2,2,999999,4,2,1,0,3,0,1,1,1,South,East,None,South,South,6,0,-1,163,South
39,27,20,6,6,True,False,True,True,South,4,3,5,1,3,1,999999,5,2,1,0,3,0,0,0,3,East,East,None,East,East,8,0,-1,162,East
40,27,20,7,6,False,False,True,True,East,4,3,3,2,3,2,999999,3,2,1,0,3,0,1,1,1,West,South,None,West,West,6,0,-1,161,East
41,27,20,8,6,True,True,True,True,East,4,3,2,2,2,2,999999,2,2,1,0,3,0,2,1,0,South,West,None,South,South,4,0,-1,160,East
42,27,20,9,6,True,True,True,True,East,4,3,1,2,2,3,999999,1,2,1,0,3,1,2,0,0,South,South,None,South,South,3,0,-1,159,North
43,27,20,9,7,True,True,True,True,North,4,3,1,2,2,4,999999,1,2,1,0,3,1,1,0,1,North,East,None,North,North,3,0,-1,158,North
44,27,20,9,8,True,True,True,True,North,4,3,2,1,1,4,999999,2,2,1,0,3,1,0,1,1,East,North,None,East,East,3,0,-1,157,East
45,27,20,10,8,True,True,True,True,East,4,3,1,2,2,4,999999,1,2,1,0,3,2,0,1,0,North,North,None,North,North,3,0,-1,156,East
46,27,20,11,8,True,True,False,True,East,4,3,0,1,1,5,999999,3,2,1,0,2,0,2,0,0,Stop,South,None,South,Stop,1,0,-1,155,North
47,27,20,11,9,True,True,False,True,North,4,2,4,4,4,6,999999,4,1,1,0,2,0,0,1,1,West,East,None,East,East,10,0,-1,354,North
48,27,20,11,10,True,True,False,True,North,4,2,4,3,3,6,999999,4,1,1,0,2,1,0,0,1,East,North,None,North,North,10,0,-1,353,North
49,27,20,11,11,True,True,False,True,North,4,2,5,2,2,7,999999,5,1,1,0,2,0,0,1,1,West,East,None,East,East,12,0,-1,352,North
50,27,20,11,12,False,True,True,True,North,4,2,5,2,2,8,999999,5,1,1,0,2,1,0,0,1,North,East,None,East,East,13,0,-1,351,East
51,27,20,12,12,False,False,True,True,East,4,2,3,3,3,8,999999,3,1,1,0,2,1,0,1,0,North,West,None,West,West,11,0,-1,350,East
52,27,20,13,12,False,True,True,True,East,4,2,1,3,3,8,999999,1,1,1,0,2,1,0,1,0,North,West,None,West,West,9,0,-1,349,South
53,27,20,13,11,True,True,True,False,South,4,2,2,4,4,7,999999,2,1,1,0,2,0,0,1,1,West,East,None,East,East,9,0,-1,348,South
54,27,20,13,10,True,True,True,False,South,4,2,2,5,5,6,999999,2,1,1,0,2,0,0,1,1,West,East,None,East,East,8,0,-1,347,South
55,27,20,13,9,True,True,True,False,South,4,2,3,5,7,5,999999,3,1,1,0,2,1,0,0,1,North,East,None,East,East,8,0,-1,346,South
56,27,20,13,8,True,True,True,False,South,4,2,3,4,8,4,999999,3,1,1,0,2,1,0,0,1,North,East,None,East,East,7,0,-1,345,South
57,27,20,13,7,True,True,True,False,South,4,2,2,3,9,3,999999,2,1,1,0,2,1,0,1,0,North,West,None,West,West,5,0,-1,344,South
58,27,20,13,6,True,True,True,False,South,4,2,2,2,11,2,999999,2,1,1,0,2,1,0,1,0,North,West,None,West,West,4,0,-1,343,South
59,27,20,13,5,True,True,True,False,South,4,2,1,1,13,1,999999,1,1,1,0,2,1,0,1,0,North,West,None,West,West,2,0,-1,342,South
60,27,20,13,4,True,True,True,False,South,4,2,1,1,1,999999,999999,1,2,0,0,2,1,0,1,0,North,None,None,North,North,2,0,-1,341,South
61,27,20,13,3,True,False,True,False,South,4,2,1,2,2,999999,999999,1,2,0,0,2,1,0,1,0,North,None,None,North,North,3,0,-1,340,East
